,text
15,Dear  can you please inform me as to why my order for Xbox one X (4H7M64GDV) placed and paid for in September has not been dispatched
18,"hello I sent a message regarding an order 10 hours ago and Iâ€™m still awaiting a response,please help because the delivery is tomorrow"
24,"received a direct order today was supposed to be a kids bike,got it home ( huge box) opened it and it's a SUITCASE !!!"
42,"I ordered flowers for delivery 2moro for a lady who's leaving the company,said delivery can be 7pm! We need it to be before 3pm! Help"
45,Disappointed to find the 1 item we wanted on our food order not delivered along with a late delivery. No surprise
53,"been waiting for a parcel to arrive since 29/10. Still no sign. Only 2/3 items arrived, and no receipt. Please contact me to follow up"
99,"@tesco Tesco Direct site states 'You can pre-order this product now for delivery on the launch date'. Launch date is 27/10, but my order says delivery by 31/10. Which is correct?"
129,This is the fourth time in a row that my  delivery has been delayed! Ridiculous!!!  explain yourselves!! ğŸ˜ ğŸ˜ ğŸ˜ ğŸ˜¡ğŸ˜¡ğŸ˜¡Grr....
135,"Hi, I canâ€™t seem to add an order note for the delivery to my nans address."
138,package was meant to be delivered to  today and no update on it ğŸ˜©ğŸ˜© so sad
161,can you help me with an order please
181,How many days does  think its customers should take off work to receive a furniture delivery? #badcustomerservice
183,orderd wife's birthday present online Monday morning for collection Tuesday from store still no email or txt to say it's arrived
191,my delivery was due to come an hour and a half ago but is still a no show and yet on the website it says it's been delivered. ğŸ˜ªğŸ˜ªğŸ˜ª
211,"Hi, we have been waiting for order number 4P684WBYV to be delivered to Crawley Hazelwick store to collect. Email advised should arrive on 21/11 but no info to say it has been delayed or delivered. Tracking shows it has been with despatch office since Monday. Please help."
223,"delivery booked 8-9, at 9.07 receive text that they'll arrive 9.10-9.40?! Not impressed, I have to leave for work at 9, already late"
231,Iâ€™m waiting for a delivery and the most accurate time your tracking can give me is between 8am - 7pm? Terrible service.
236,"at what point do I give up waiting for my delivery that should have been here 8-9pm, then apparently would be with me by 10pm then by 10:30pm and now the call centre is closed? Just wondering if I can go to bed now??"
253,Ordered something from  and received an email to say it has been dispatchedâ€¦.now the waiting game starts!
296,hi - my train is delayed and might miss my delivery ğŸ˜¢ is there any way I can check where the driver is or ask them to wait 20 if I'm not there?
314,"just had a home delivery which was some missing some items which should have been delivered, what should I do?"
317,"hi, my order was booked for 8-9pm tonight but hasnâ€™t arrived + no text from the driver. Can you help track it down/ give me a new ETA? Thanks!"
337,Surreal hour. Saw 2 shoplifters leg it from Vapes shop with manager in pursuit. Got home &amp; large  delivery in kitchen. Wrong house!
352,my home delivery was due between 3 and 4 but no sign of it. Who do I contact?
358,Waist of time ordering with  never delivered anything I wanted blooming useless. ğŸ˜ 
360,knightmare today. You phoned 45 minutes befire our delivery today to tell us its cancelled and cant get a delivery. Â£10 is NOT adequate compensation.
363,Come on  half 11 and Iâ€™m still waiting for my 9-10pm shopping!!! ğŸ˜¤ğŸ˜¤
403,"it was bad enough that my delivery came late, but half of my shopping is missing!!!"
404,how long does it take for your system to update and get deliveries to new build please?
426,"hi, I'm wanting to order a toddler bed on your website, do you offer Saturday delivery? All I can see is standard or next day, thanks"
430,oh dear Iâ€™m still waiting to get my TV four days after the promise of delivery. Apologies no use if not followed by action
460,hi. Iâ€™ve got a PS4 game ordered to be click and collect today but itâ€™s still saying â€œbeing processed â€œ and I havenâ€™t heard anything?
483,My delivery was meant to be here between 8-9pm. It hasnâ€™t arrived and I havenâ€™t received any messages. Sent you a DM. Livid.
496,"Direct - ""Clock and Collect, your order will be hear tomorrow at 3pm""' on Friday

Sunday morning - ""Your order will be hear Monday.

I might as well of gone in story to buy it or even get a delivery. What's with the false promises?"
545,ordered a delivery to the store on Saturday. Still not arrived #AreYouShut?
603,Third week running  have contacted us to tell us our delivery will be late ğŸ˜¡ service is flipping shocking
609,this is the second week that the delivery is late!! ğŸ˜¡
627,Iâ€™m disgusted by your delivery service I ordered a Xbox one game last Friday it was dispatched Monday &amp; still hasnâ€™t arrived &amp; customer service was useless &amp; still no game which is a Christmas present  ğŸ˜¡ğŸ˜¡
628,Last 3 click and collect orders from  Direct have all been late. I certainly won't be ordering from them if I need anything in a hurry!
634,"hey, just checking on order I placed for Super Mario Odyssey.. The website says due for delivery tue 31st, but its out on the 27th.."
635,"hi I pre ordered ww2 online, how and when will I receive the double xp and unlock bonuses? Thanks"
637,Shocking  delivery tonight! Poor driver embarrassed as NONE of our fridge order was sent on the delivery! Sick hubby now gone to Asda!
750,"Order did not arrive, no email or call to explain, I waited in. Nothing. Had to call.  Very poor show. Would not use again"
755,Hi!! Can you help me track a click and collect order that seems to have gone astray? ğŸ˜®
765,please start a desert delivery service I really want your chocolate fudge cake and custard but itâ€™s like -1  degrees outside and Iâ€™m lazy
780,"as usual, trifles in home delivery all over the place/packed upside down so all cream on lid and structure lost. Today's order https://t.co/0K26nLF1iG"
785,same day delivery service is fabulous being able to shop today at 12 and it's delivered by 7 wow fab service when you can't get to the shop to thanks
815,"Hi , not sure last night's delivery should be inedible already?! https://t.co/ue2wPdkWbw"
836,come home especially for my delivery... still not here. #everylittlehelps https://t.co/2bcGaGcWRo
856,getting ready for Christmas but my order never showed up??ğŸ˜­
875,my order was dispatched Saturday?!! Not had any updates and it needs to be signed for? An estimated date time please? https://t.co/PoonMGXQAe
879,How does a delivery dispatched from Coventry at 3am not make it to London by 7 30pm? Pretty shoddy for once
962,shopping delivery over 90 minutes late yesterday!! Please can you at least refund delivery charge? Order 601786258
987,food delivery due between 9-10pm. Still not arrived. Customer services did not answer call. Services now closed. What should I do? https://t.co/xSuRPWAivN
1044,Ok  how long do I have to wait for food delivery?? Half hour late seriously annoyed now getting tired!!
1063,Hi - you cancelled part of my order as you do not have stock and said you would refund that part but the item has now disappeared from my order. Can you check please? My order number is: 4P66D49PQ. Thanks
1065,"my delivery didnâ€™t arrive, I waited until 11pm the end of the slot and now all you lines are closed!!! ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡"
1087,".  Pretty poor to cancel a delivery half an hour after slot has ended due to ""driver absence"". Thanks for nothing - literally!"
1127,"hi, i have an order to store that says it would be available to be collected today but isnt, can you help please"
1175,what a joke. Ordered things last week to collect for Saturday and I rang today to find out where my order is and itâ€™s cancelled.
1240,"We ordered shopping to be delivered between 1 and 5, told it would likely arrive between 3-4, now 5:18 and no sign or message."
1241,morning please advise on my order as states Tuesday 10th to Saturday 14th item still showing dispatched. Jamie https://t.co/a3v1OKyoUN
1252,hi. Would you be able to tell me what size package item 636-6119 arrives in ?
1253,"any idea where my order is?? Was supposed to be ready to collect from Tuesday the 28th Nov... still showing as dispatched. 
Order No. 4PBN7KMFT"
1280,. Yes again another grocery delivery from the Worcester store that is missing items. Every single time this happens.
1289,"delivery over 30mins late 2 weeks in a row now, may have to give @117249 or @136881 at try #fail"
1290,"hi, with click and collect for electronic items is it 2-3 working days? Or could it be ready for Monday if I ordered it now? :)"
1338,"hi, an item was missing from my click and collect order. Is there anyone I can email about it? I deal with people on the phone today, I am poorly ğŸ¤’"
1362,"When you know you won't make a confirmed and expected delivery, why no employ good manners and good practice and inform the customer?"
1381,food delivery not here. Meant to be here between 8pm and 9pm. First time back with you guys after a long time since the last balls up.  It's not looking good for future custom from us.
1389,has order no 4P4YYF3KX got stuck? I placed it on 17 November
1417,"Direct, poor service placed an order 8 days ago still not despatched, itâ€™s in stock, del was due 15th, I called on 15th as not despatched, requested cancellation and refund, they havenâ€™t done either, really disappointed,"
1420,"you didnt bother to deliver our order last night and despite saying you would contact us and deliver today you havenâ€™t. Why the shocking service and communication? I expect better!
Order number 513890202"
1475,"Hi guys, is it free to cancel a click and collect order? Thanks! :)"
1485,Thinking of changing supermkt. Disabled so rely on delivery for food. 4th week running  have rung saying they'll be 1hr+ late. #hungry
1487,Really disappointed at  for yet again not delivering stuff I ordered in my grocery shop...why advertise it if it's sold out? ğŸ¤·ğŸ¼â€â™€ï¸
1513,2hrs waiting for a phone call from a manager! No chicken tonight....every little help..not !
1519,"Very impressed with  click and collect, ordered an item yesterday afternoon and it said expected collection Friday evening... I have it already!"
1537,Iâ€™m completely unsure why I continue to have  Delivery..... They NEVER  come on time #facts ğŸ˜¡
1589,"Thought Iâ€™d try  home delivery for first time rather than my @136881 to see if more cost effective. big mistake. Wasnâ€™t any cheaper once I paid the â€œservice chargeâ€ order was 15mins late, no heads up until driver phoned as was lost. #dissapointingservice"
1605,do not buy flowers from the Mile End store as they refuse to exchange them when they die before the stated guarantee
1608,. 4 broken promises of mgmt checking orders 2stop goods delivered with short sellby dates thanks every little helps me shop elsewhere
1611,When will you be adding the iPhone X to direct? Thanks! #doublediscount!
1629,"Hi, waiting for a delivery that hasn't shown up. No message to say it's late. Are you aware of any issues with deliveries in HP3?"
1640,Well done . 8-9 delivery slot still not arrived. Phoned customer service who were unable to get hold of driver or store...yet payment has been taken.
1660,This is a joke!!! I pay for a 15min wait and then he hangs up the line!!! Disgusted with  customwr service!
1661,my grocery delivery is late yet again. 40 minutes last week and on course to be 30 minutes late this week. That's not what I pay for
1674,"So My yesterday's  shopping never arrived. Driver lived me a voice message ""we are too busy to deliver your order"" (even if I booked paid for it).
No food for yesterdays dinner, noe todays breakfast or lunch. 
#thanksfornothingtesco"
1679,why is my pre-order of Scorpio saying delivery 10th November when it is released tomorrow
1699,"Ordered cod so it would be here today when I got home from work and itâ€™s not here, you are dead to me"
1700,"So  was supposed to deliver between 7pm &amp; 8pm, it's 930pm &amp; still nothing ğŸ˜“"
1711,Oi  - where is my copy of #MarioOdyssey ?? I preordered it and itâ€™s not here!
1774,quality service.... order received less than 24hrs from placing it online. Bravo. ğŸ‘ğŸ‘ğŸ‘
1778,"I pre-ordered Xbox one x online a few weeks ago now, the money has been taken when will it get dispatched as itâ€™s released today"
1789,"Another week and yet another late delivery. 45 minutes this time.
Shouldn't give out 1 hour slots if you can't stick to them"
1876,Can you please find out if my shopping delivery will be late or if it's going to turn up in the next 5 minutes?
1892,Pre-ordered Mario Odyssey from  weeks ago and it hasn't arrived on time ğŸ˜¢
1898,"paid premium fee for Fri eve delivery time 7-8pm, driver running behind and to expect it after 9.30pm.Plans for this eve now ruined."
1899,- online delivery accepted by a family member today and Iâ€™ve just got home to find my freezer items werenâ€™t delivered.
1911,"our delivery has been late twice in the last two weeks. The drivers answer ""the store is 17miles away so we will never get here in the slot"". 1. Not helpful and 2. Why make it available to us? This isn't our issue? Disappointed and considering changing supermarket."
1932,Mario order still not here. A dirty trick marking it as dispatched when you haven't done so. It stops me cancelling to go elsewhere
1953,where is my shopping?! ğŸ˜¡ could you tell me why I pay delivery charge if the shopping doesn't come in the time slot? I am currently waiting for my shopping to come and the time slot I booked was 7pm to 8pm and it is now 8.11pm.
1963,what's the point of a shopping delivery slot if you repeatedly fail to deliver during it? Thinking of moving to another store. Hungry of Clapton!
1966,why donâ€™t you do blu ray preorders on direct? Itâ€™s actually dumb you donâ€™t
1982,I have been waiting for my Click and Collect Order and it will now be 3 days overdue. I will cancel if you can't tell me what is goign on. :-/ Order no: 4P9YQ3C7C
2025,"NEVER ordering from  direct again. Been in all day 4 delivery, was promised would be 2day (release day), now been told can take 5 days"
2041,Hung up after 25 minuets on hold to find my parcel that was dispatched 10 days ago! Dreadful customer service
2060,my wife did a direct order to arrive today still no message sayings it's in should have been in by 3pm ? #whereismyparcel
2068,Baby is asleep. I should be napping too. But no stupid me has a  delivery due ğŸ˜©ğŸ˜© #hurryup
2069,"I'm watching the clockâŒšfor my  delivery, 8 mins and counting. You said 6-7pm don't let me down! I'm gonna eat one of every item when it comes, I'm so excited!"
2085,"Dear  
Is there any chance of my order being delivered to the click and collect store soon as it should have been ready on 29th Nov? ğŸ˜¡"
2110,"my order was set for between 15.00 and 16.00, I received a text saying driver running late, would be between 15.00 and 16.52, but still no sign of it?"
2115,Any idea why part of my Click&amp;Collect order would be showing as Collected when I havenâ€™t even been in to pick it up as of yet?
2127,"4th time in as many months that a  home delivery shop hasn't arrived. No contact from driver, no contact from store, countless chasing up to no avail. Huge waste of time again. Abysmal service, will take our custom elsewhere. ğŸ‘"
2174,Nice on  - Youâ€™ve turned the â€œlate nightâ€ pumps off! Never again will I go out of my way to come here. ğŸ˜¤ğŸ˜¤ğŸ˜¡ğŸ˜¡ https://t.co/z0OMxuHLpD
2184,are you going to sort out my grocery delivery where half of it was missing?
2192,"my shop was mean to be here half an hour ago, tried to ring the store and got hung up on, where is itttt"
2200,Errrrrrrm  I ordered my food shopping to be delivered between 6-10pm. Still not arrived. Iâ€™m not getting out of bed ğŸ˜‘ğŸ˜‘ğŸ˜‘ğŸ˜‘
2301,Been sat at my kitchen table since 7pm waiting for our delivery booked between 7 and 8. You owe me an evening
2347,"Hi, do you plan on delivering GT Sport on Wednesday (release day?). No dispatch yet and my delivery details says Saturday 21st Oct!?!"
2351,"Hi, our food wasnâ€™t delivered today, we had to ring driver there and he said he broke down.However our order is marked as â€œdeliveredâ€"
2385,my food shop supposed to be delivered between 8-9 itâ€™s still not here and no phone call to advise of it being late
2396,"Hi, Iâ€™ve had an email &amp; text stating my direct order will be delivered today...I havenâ€™t got a direct order?! Can you help please?"
2417,called to say shopping isnâ€™t coming 3 hours before? Ordered two days ago! problem at store to do with weather? It seems ok to me!
2429,"why am I unable to pick up my click&amp;collect order tonight from Shenfield TescoExpress? They said the system was down, but surely you can make a note and update the system later?? Frustrating..."
2440,would you be able to see if a refund has been processed from my click and collect order at all?
2497,Terrible service from  phone to see where late running delivery is only to be told it isnâ€™t coming at all. Didnâ€™t think to tell us tho
2530,"Love getting a  delivery with 11 items missing which I was charged for, then 5 items taken of as the frozen items weren't frozenğŸ˜­"
2552,"how many times do you want to mess up my orders,extend delivery an hour just to cancel.called and got cut off at 11lines closed at 11"
2566,@tesco if I pre order Battlefront 2 deluxe ed would it be guaranteed delivery for the early access (14th Nov) checkout says Nov 21st :(
2607,- partner rushed home from work to make it for grocery delivery slot but driver was 25 mins late - do you have a policy for this? Thanks.
2623,Iâ€™ve been since 7 for for my food delivery! Iâ€™ve not received any notifications about a delay! Can you provide me with an explanation for the delay?!
2660,must be dishing my grocery shop out to trick or treaters since theyâ€™re an hour late already ğŸ™„ğŸ˜©
2682,shabby service delivering flowers.  People don't bother putting a delivery date they won't keep to it.
2688,When you choose a 1hr fixed slot for  grocery delivery and it arrives 30mins after the slot ends ğŸ˜¡ğŸ˜¡
2832,because you cancelled my delivery today with 10 minutes notice due to a football match taking place a mile away. Here's my invoice for tonight's dinner. Â£13.50. If you've known the premier league fixtures since June why make the delivery slots available?! #HANGRY https://t.co/A0AvT0HU4o
2839,"hello, Iâ€™ve been waiting on an order for two weeks now, any idea where it is? Order no: 364245616"
2867,I hope someone enjoyed my  delivery because itâ€™s not here. https://t.co/2WobxnXK8J
2883,"delivery was meant to be between 8-9, this then between 8-9:49....and guess what STILL not here"
2928,"Hi. We ordered via the flex delivery method however we usually get a text the day of delivery with a smaller time frame, haven't today though"
2964,"placed a direct order on Wed. Selected Sat delivery, recâ€™d notification Fri night, confirming sat delivery from courier. Not recâ€™d!"
2994,"Hello,my grocery shopping should have been delivered tonight 8-9pm but still not here.On hold with your service team for 8mins..."
3004,delivery this evening running an hour late!!! Iâ€™m getting peckish.... ğŸ˜¡
3005,Where the f r i c k is my Mario Odyssey game
3018,Really disappointing service from one of your online customer service team. Was made to feel I should just accept 45 min delay.
3044,absolutely terrible service this evening. Only just received (at 10:15pm) our delivery that was booked for 8-9pm. (Continued)
3049,"order was a no-show this AM, called to ask why &amp; call operator couldnâ€™t reach local store. Now left without groceries or explanation."
3057,"shopping delivered &amp; put away before it was actually due, thanks! xxx"
3062,"hi, ordered something to be delivered to a store. Got an email to say it had arrived. Went to store yeadterday but it was t there."
3085,Pre-ordered Fire Emblem Warriors from  direct for release date delivery (today) and it's not even been dispatched yet ğŸ˜¢
3099,we were supposed to receive our grocery delivery from 21.00-22.00..still hasn't arrived and no reason as to why! Please advise.
3100,how can you get an email to say your order as been defpatched then get one then get one 7 hours later to say itâ€™s been delayed  24 hr
3127,"Hi  I'm waiting on a 1hr slot for order 154454820, booked 13.00-17.00 and was told I would get a 1hr slot on the day"
3147,I ordered a photo mug online on 01/11 and it still hasnâ€™t arrived. No help from your email address either! What do I do? 22 days later...
3194,Thoroughly unimpressed with our first  click and collect order from the Huntingdon store. Many quantities incorrect and missed offers.
3202,is this some sort of joke?? Shopping is going to take me twice as long!! #nothappy https://t.co/WxWiBatiZ6
3204,My shopping will easily take twice as long like this ...... Not worth it. 2/2
3234,slightly concerned my delivery was meant to come between 9/10 it's now 10:42 no delivery no contact. Been on hold for 20mins ON PHONE
3249,children waiting for dinner as delivery over an hour late. Will be cancelling delivery save as not the first time
3260,"For the THIRD time in two months,  have cancelled our grocery order &amp; not told us so we've waited for the delivery. I am fuming! ğŸ˜¡"
3264,"ordered the new call Of Duty on 3/11/17 still not arrived. Bought a new title and would expect quicker delivery, also gone past the latest estimated date it would be delivered. Ridiculous"
3276,Hey  how come me and my mates have to wait until Friday for our Xbox One X Project Scorpio? Bit gutted it wonâ€™t be here for launch ğŸš€ğŸ¤¯ğŸ¤®
3292,Just DMâ€™d you guys because Iâ€™ve had the same short date issue as I had on my last delivery.
3326,"Another evening, another delayed  delivery ğŸ™„ I just love waiting in for supermarket no-shows."
3327,Hey  this is getting a little too regular for my liking. Is there any point paying for Delivery Saver if you can never make it in the one hour time slot?? You used to be reliable but I'm starting to wonder whether to switch... https://t.co/GyYwxVbRid
3352,folks who do I need to speak to regarding an email code for Xbox that has not turned up yet? This is the 2nd time this has happened!!
3354,"Iâ€™ve pre ordered the new LA Noire game on Xbox one, just to clarify, this game will be on disk and not a digital download copy?"
3360,"Promised delivery today however tracking shows it last at the sorting office, could you please check? Order Ref: 4NDJXWNVB"
3364,not impressed my mum is ill an been waiting on a delivery to arrive at 4pm no call text email nothing. Disgrace
3366,"How come when you choose the 4 hour flexible delivery slot at  the confirmed delivery time is NEVER at the start of the time slot, always towards the end. #FirstWorldProblems #Tesco"
3376,So I pre-ordered the new Battlefront 2 which is meant to have a few exclusives. Annnnd... It doesn't. Why? I paid a little bit more money and have nothing in return.
3420,hello. I have an xbox one X Project Scorpio on pre order from you guys and the delivery date is listed at Nov 10th.. is that right?
3448,- I ordered 10 Dr Salts muscle therapy Bath Salts. Only 5 delivered to me. Do I have to pay again for delivery?
3460,been trying to get in touch with you guys about ordering an item through the phone but no joy! It's quite urgent!
3519,my delivery has been 20 mins late so far with not a peep from the driver. Whatâ€™s the point of me including my number on the order?
3596,"Hey! My driver on Sunday had no paperwork, said I'd get an email receipt, but I never did. Can you help?"
3613,hi I ordered an item for click and collect due today at store but it's not dispatched yet on my account??
3623,Hello   I am trying to resolve my C&amp;C order that has been returned by the store and refunded without my consent. Pls help
3628,can I check if I cancel an order online for food before the cut off time I wonâ€™t be charged? :)
3630,is this  best before date or the when it was made? Ordered it via tesco delivery https://t.co/4fUxHhQRQm
3632,is my click and collect order ready to pick up. 4P6MCPVPM. Says something about the collection 22nd. online it says it's ready to col
3638,why is it an order i tried placing at 22:50 has only given me single discount? Double discount was until 11pm??
3650,just received my order and would love to know why 1 item is wrong and 1 is missing when I was told everything was there.
3663,Do not order home delivery from  . They just delivered to the wrong house and never even told us about it. Even when realising their mistake they offered no form of compensation. Terrible service.
3681,do you know why the Xbox one X pre orders have been taken off direct? Or would you know a date theyâ€™ll come back on?
3778,"Hi, was expecting order to arrive today, what time do they deliver till? It hasn't arrived yet :("
3779,This is a joke....how long am i suppose to wait?  ğŸ¤·ğŸ¼â€â™€ï¸ğŸ˜¡ https://t.co/De1jeh0P8u
3780,just received need for speed payback. Pre ordered Xbox SE was it meant to come with pre order bonus??
3786,"do 2 days run in 1, can you find out please if Yate Extra will let me stop and charge? I should be there by around 1030hrs. Ta"
3810,hi our order was supposed to be delivered to store on tues 28th but hasnâ€™t even been dispatched yet! Please can you help? Order no is 4P9D6T8DG
3849,You normally text when my shopping will be late - itâ€™s ten mins late and I need to go out. Any idea how long it will be?
3854,I can't seem to make payment for Click+collect service. Why? https://t.co/AVGbfTDLrk
3866,now 2h30m after my shop was due to arrive and you donâ€™t answer my calls (or rather you put me on hold for 22 mins and counting). Oh dear ğŸ˜¢
3867,Is there any chance Microsoft Xbox One X 1TB 4K Console (Delivery 16/11/17) will be dispatched before that date?
3898,"disappointed with really short dates on fresh meat again. Delivery arrived late Wednesday night, nothing lasts beyond today."
3920,hi is there anyway someone can find out why my shopping didn't arrive tonight please?
3925,Can you please let me know why my order has not yet arrived in store  order number 4PBMHKXGG
3947,Another crap delivery from   even after they said it wouldn't happen again. Need to sort your pickers out as they really don't have a clue. Thickos
3952,"Not brilliant, , especially as I specifically booked that hour due to tight timescale and after 4pm was a cheaper delivery slot... https://t.co/FEx96Dp0Jn"
3960,"4NKMBNQJH can you look into this order please,apparently its been dispatched but will come between mon-sat 7am till 7pm. Am i really expected to not leave the house all week waiting for it?! Most companys mow give a one hour delivery slot?"
3968,Ordered something for my bosses birthday tomorrow and not arrived still (6-7pm slot)  Need to go out soon. Help...!
